"row ID";"temp_min_api";"temp_api";"hum_api";"temp_max_api";"data_api"
"Row0";17.9;18.45;89;18.45;"2025-10-19 18:00:00"
"Row1";17.69;18.2;93;18.2;"2025-10-19 21:00:00"
"Row2";15.62;16.56;93;16.56;"2025-10-20 00:00:00"
"Row3";15.97;15.97;86;15.97;"2025-10-20 03:00:00"
"Row4";14.25;14.25;87;14.25;"2025-10-20 06:00:00"
"Row5";15.97;15.97;86;15.97;"2025-10-20 09:00:00"
"Row6";17.67;17.67;76;17.67;"2025-10-20 12:00:00"
"Row7";18.64;18.64;69;18.64;"2025-10-20 15:00:00"
"Row8";16.36;16.36;79;16.36;"2025-10-20 18:00:00"
"Row9";16.41;16.41;91;16.41;"2025-10-20 21:00:00"
"Row10";16.12;16.12;94;16.12;"2025-10-21 00:00:00"
"Row11";16.31;16.31;98;16.31;"2025-10-21 03:00:00"
"Row12";17.09;17.09;99;17.09;"2025-10-21 06:00:00"
"Row13";19.07;19.07;91;19.07;"2025-10-21 09:00:00"
"Row14";21.16;21.16;78;21.16;"2025-10-21 12:00:00"
"Row15";21.38;21.38;78;21.38;"2025-10-21 15:00:00"
"Row16";17.23;17.23;99;17.23;"2025-10-21 18:00:00"
"Row17";17.58;17.58;95;17.58;"2025-10-21 21:00:00"
"Row18";17.7;17.7;99;17.7;"2025-10-22 00:00:00"
"Row19";17.7;17.7;98;17.7;"2025-10-22 03:00:00"
"Row20";17.78;17.78;98;17.78;"2025-10-22 06:00:00"
"Row21";18.18;18.18;96;18.18;"2025-10-22 09:00:00"
"Row22";19.27;19.27;93;19.27;"2025-10-22 12:00:00"
"Row23";19.45;19.45;93;19.45;"2025-10-22 15:00:00"
"Row24";18.75;18.75;98;18.75;"2025-10-22 18:00:00"
"Row25";18.75;18.75;98;18.75;"2025-10-22 21:00:00"
"Row26";18.79;18.79;98;18.79;"2025-10-23 00:00:00"
"Row27";19.06;19.06;98;19.06;"2025-10-23 03:00:00"
"Row28";18.87;18.87;98;18.87;"2025-10-23 06:00:00"
"Row29";18.88;18.88;98;18.88;"2025-10-23 09:00:00"
"Row30";18.61;18.61;98;18.61;"2025-10-23 12:00:00"
"Row31";18.16;18.16;98;18.16;"2025-10-23 15:00:00"
"Row32";17.76;17.76;99;17.76;"2025-10-23 18:00:00"
"Row33";17.81;17.81;99;17.81;"2025-10-23 21:00:00"
"Row34";17.56;17.56;99;17.56;"2025-10-24 00:00:00"
"Row35";17.44;17.44;99;17.44;"2025-10-24 03:00:00"
"Row36";16.97;16.97;99;16.97;"2025-10-24 06:00:00"
"Row37";16.33;16.33;91;16.33;"2025-10-24 09:00:00"
"Row38";17.77;17.77;73;17.77;"2025-10-24 12:00:00"
"Row39";17.36;17.36;62;17.36;"2025-10-24 15:00:00"
